sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths
104,Sezana,Kamnik,103.5,False,[84.0],[199.0]
105,Ormoz,Kovevje,84.0,False,[40.0],[184.0]
106,Ljubljana,Ajdovscina,45.0,True,[118.0],[221.0]
107,Radenci,Peercelje_0,70.5,False,[44.6],[293.9]
108,Ptuj,Novattgorica,79.5,True,[105.0],[200.0]
109,Postojna,Ajdovscina,48.0,True,[56.4],[246.3]
110,Tolmin,Postojna,73.5,False,[53.0],[135.6]
111,Bled,Dravograd,76.5,False,[27.1],[129.0]
112,Portoroz,Senozece,117.0,True,[132.6],[217.6]
113,Novattgorica,Slovenjttgradec,138.0,False,[106.4],[268.8]
114,Divaca,Ptuj,129.0,True,[143.6],[247.6]
115,Ajdovscina,Krsko,75.0,True,[127.0],[225.0]
116,Izola,Kovevje,118.5,True,[134.3],[182.3]
117,Izola,Bled,136.5,False,[59.0],[91.0]
118,Novattgorica,Radenci,45.0,False,[],[]
119,Ajdovscina,Gornjattradgona,132.0,True,[134.6],[249.0]
120,Tolmin,Ormoz,76.5,True,[126.7],[233.7]
121,Bled,Lasko,70.5,False,[48.8],[105.2]
122,Kranj,Velenje,76.5,False,[65.6],[129.6]
123,Trbovlje,Celje,90.0,False,[41.1],[77.8]
124,Slovenjttgradec,Portoroz,126.0,True,[142.8],[258.8]
125,Lasko,Rogasjattslatina,93.0,True,[121.9],[203.1]
126,Slovenskattbistrica,Portoroz,51.0,False,[],[]
127,Ravnettnattkoroskem,Gornjattradgona,64.5,False,[],[]
128,Novattgorica,Celje,109.5,False,[80.0],[188.0]
129,Lasko,Ravnettnattkoroskem,142.5,True,[152.3],[221.5]
130,Velenje,Murskattsobota,57.0,False,[],[]
131,Divaca,Maribor,111.0,True,[174.5],[245.1]
132,Radenci,Slovenjttgradec,111.0,False,[],[]
133,Bled,Izola,78.0,True,[99.4],[177.4]
134,Peercelje_0,Velenje,61.5,True,[99.0],[191.0]
135,Murskattsobota,Koper,48.0,True,[54.4],[234.8]
136,Trbovlje,Izola,46.5,False,[],[]
137,Peercelje_0,Kovevje,139.5,False,[],[]
138,Postojna,Gornjattradgona,115.5,False,[77.0],[198.0]
139,Kamnik,Ormoz,51.0,False,[],[]
140,Slovenskattbistrica,Izola,49.5,False,[],[]
141,Krsko,Izola,61.5,False,[41.0],[200.0]
142,Kranj,Novottmesto,46.5,True,[109.4],[202.7]
143,Sezana,Novottmesto,45.0,False,[],[]
144,Divaca,Kovevje,84.0,True,[87.0],[147.0]
145,Slovenskattbistrica,Murskattsobota,63.0,False,[],[]
146,Dravograd,Postojna,133.5,True,[236.0],[262.3]
147,Jesenice,Gornjattradgona,99.0,False,[39.6],[164.1]
148,Divaca,Velenje,84.0,True,[106.2],[245.2]
149,Ajdovscina,Koper,115.5,True,[130.9],[191.9]
150,Senozece,Kamnik,106.5,False,[25.4],[106.0]
151,Kamnik,Murskattsobota,58.5,True,[130.0],[184.0]
152,Ajdovscina,Ljutomer,55.5,False,[37.0],[196.0]
153,Jesenice,Lasko,49.5,True,[111.5],[187.0]
154,Postojna,Tolmin,150.0,False,[90.0],[161.0]
155,Ptuj,Radenci,76.5,True,[86.7],[282.5]
156,Ljubljana,Ormoz,97.5,False,[95.0],[183.0]
157,Maribor,Celje,123.0,False,[89.4],[122.1]
158,Postojna,Radenci,45.0,True,[122.5],[206.0]
159,Murskattsobota,Ajdovscina,124.5,False,[123.6],[262.7]
160,Ravnettnattkoroskem,Ljutomer,57.0,False,[],[]
161,Ptuj,Ajdovscina,55.5,True,[101.9],[223.9]
162,Senozece,Izola,105.0,False,[90.0],[128.0]
163,Divaca,Radenci,90.0,True,[111.0],[269.6]
164,Ptuj,Divaca,64.5,False,[49.0],[186.0]
165,Portoroz,Kamnik,46.5,False,[],[]
166,Slovenjttgradec,Radenci,123.0,False,[],[]
167,Jesenice,Radenci,60.0,True,[71.2],[200.0]
168,Ormoz,Slovenskattbistrica,103.5,True,[117.3],[209.3]
169,Velenje,Ptuj,144.0,True,[163.2],[197.2]
170,Senozece,Koper,93.0,False,[53.0],[165.0]
171,Slovenskattbistrica,Lasko,46.5,False,[],[]
172,Kovevje,Jesenice,103.5,False,[43.9],[195.5]
173,Radenci,Rogasjattslatina,64.5,True,[73.1],[170.1]
174,Ptuj,Slovenjttgradec,115.5,False,[38.0],[177.0]
175,Rogasjattslatina,Dravograd,109.5,False,[54.0],[161.7]
176,Ravnettnattkoroskem,Ljutomer,63.0,False,[],[]
177,Postojna,Peercelje_0,115.5,False,[],[]
178,Maribor,Ravnettnattkoroskem,129.0,False,[],[]
179,Ajdovscina,Bled,102.0,False,[],[]
180,Ljutomer,Postojna,73.5,False,[49.0],[155.1]
181,Tolmin,Peercelje_0,81.0,False,[18.4],[215.4]
182,Ravnettnattkoroskem,Trbovlje,136.5,False,[],[]
183,Postojna,Ormoz,142.5,False,[87.0],[193.0]
184,Ljubljana,Velenje,69.0,True,[102.0],[211.8]
185,Slovenskattbistrica,Divaca,109.5,False,[],[]
186,Sezana,Maribor,64.5,False,[],[]
187,Velenje,Postojna,78.0,True,[93.3],[192.9]
188,Ljubljana,Senozece,60.0,True,[104.0],[193.0]
189,Koper,Sezana,49.5,False,[35.0],[90.0]
190,Bled,Rogasjattslatina,132.0,False,[101.2],[248.6]
191,Novattgorica,Ravnettnattkoroskem,142.5,False,[],[]
192,Bled,Kovevje,63.0,True,[99.9],[246.9]
193,Ljutomer,Dravograd,58.5,True,[154.6],[196.4]
194,Ravnettnattkoroskem,Ormoz,63.0,False,[56.7],[219.4]
195,Rogasjattslatina,Radenci,111.0,True,[118.8],[250.8]
196,Ajdovscina,Rogasjattslatina,75.0,True,[100.0],[192.0]
197,Slovenjttgradec,Kamnik,81.0,True,[91.8],[127.1]
198,Portoroz,Velenje,64.5,False,[56.4],[196.2]
199,Ravnettnattkoroskem,Murskattsobota,112.5,False,[],[]
200,Novattgorica,Senozece,51.0,False,[40.7],[111.0]
201,Maribor,Radenci,112.5,False,[82.5],[225.5]
202,Sezana,Novottmesto,133.5,False,[],[]
203,Velenje,Trbovlje,46.5,True,[52.7],[282.1]
204,Ajdovscina,Gornjattradgona,45.0,True,[51.0],[207.0]
205,Dravograd,Portoroz,46.5,True,[67.7],[218.7]
206,Krsko,Ravnettnattkoroskem,54.0,True,[58.4],[198.7]
207,Maribor,Ravnettnattkoroskem,109.5,True,[141.1],[202.1]
208,Ravnettnattkoroskem,Slovenskattbistrica,121.5,False,[81.0],[116.0]
209,Novattgorica,Sezana,96.0,False,[77.8],[201.8]
210,Divaca,Bled,132.0,False,[107.8],[196.6]
211,Rogasjattslatina,Ormoz,127.5,False,[],[]
212,Maribor,Radenci,145.5,False,[226.5],[300.7]
213,Novattgorica,Jesenice,55.5,False,[23.1],[77.0]
214,Novattgorica,Lasko,84.0,True,[84.2],[218.2]
215,Maribor,Ravnettnattkoroskem,52.5,True,[150.5],[219.5]
216,Lasko,Ormoz,51.0,True,[97.8],[177.8]
217,Ptuj,Koper,45.0,True,[113.8],[182.0]
218,Bled,Lasko,63.0,True,[77.0],[210.2]
219,Trbovlje,Dravograd,114.0,True,[134.2],[166.0]
220,Ajdovscina,Sezana,58.5,False,[54.4],[154.2]
221,Izola,Tolmin,81.0,False,[54.0],[210.5]
222,Portoroz,Dravograd,85.5,False,[],[]
223,Ptuj,Trbovlje,49.5,True,[113.1],[148.1]
224,Postojna,Ormoz,72.0,True,[110.3],[179.0]
225,Murskattsobota,Ljubljana,150.0,True,[156.2],[262.0]
226,Ajdovscina,Slovenskattbistrica,81.0,True,[91.8],[222.7]
227,Bled,Murskattsobota,57.0,False,[],[]
228,Ptuj,Sezana,97.5,True,[110.0],[182.0]
229,Tolmin,Kamnik,82.5,False,[],[]
230,Peercelje_0,Dravograd,123.0,False,[],[]
231,Jesenice,Postojna,49.5,True,[56.1],[209.1]
232,Jesenice,Dravograd,48.0,True,[100.0],[217.5]
233,Kranj,Slovenskattbistrica,94.5,False,[22.0],[159.1]
234,Slovenskattbistrica,Ormoz,69.0,True,[96.2],[243.6]
235,Krsko,Gornjattradgona,147.0,False,[38.0],[98.0]
236,Kovevje,Peercelje_0,46.5,True,[52.7],[198.7]
237,Portoroz,Sezana,144.0,False,[69.6],[159.6]
238,Ormoz,Koper,114.0,False,[129.2],[304.4]
239,Velenje,Peercelje_0,52.5,True,[116.5],[147.5]
240,Slovenskattbistrica,Rogasjattslatina,87.0,False,[],[]
241,Kamnik,Murskattsobota,69.0,False,[34.4],[199.0]
242,Jesenice,Tolmin,75.0,False,[70.0],[180.0]
243,Ptuj,Ravnettnattkoroskem,136.5,True,[154.7],[161.7]
244,Ajdovscina,Kranj,150.0,False,[60.0],[100.0]
245,Divaca,Peercelje_0,45.0,True,[73.2],[187.0]
246,Sezana,Kamnik,142.5,False,[],[]
247,Portoroz,Bled,82.5,False,[],[]
248,Ajdovscina,Sezana,145.5,True,[148.5],[207.8]
249,Peercelje_0,Ravnettnattkoroskem,70.5,True,[116.9],[187.9]
250,Dravograd,Tolmin,76.5,True,[86.7],[234.7]
251,Jesenice,Tolmin,144.0,False,[132.2],[257.2]
252,Koper,Gornjattradgona,45.0,False,[30.0],[192.0]
253,Bled,Novottmesto,52.5,True,[109.5],[224.8]
254,Rogasjattslatina,Portoroz,73.5,True,[97.3],[216.3]
255,Izola,Kovevje,45.0,True,[93.0],[144.8]
256,Lasko,Murskattsobota,96.0,True,[123.9],[173.8]
257,Kamnik,Slovenjttgradec,79.5,False,[],[]
