sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths,unsatisfied_links
107,Jesenice,Ljutomer,144.0,False,[],[],
108,Portoroz,Kranj,60.0,True,[74.0],[216.0],
109,Bled,Kovevje,132.0,True,[168.6],[288.0],
110,Jesenice,Velenje,45.0,True,[51.0],[202.0],
111,Izola,Tolmin,106.5,False,[58.0],[99.0],Izola-Koper(99.0); Koper-Kranj(67.1); Kranj-Bled(58.0); Bled-Tolmin(67.1)
112,Jesenice,Tolmin,91.5,False,[36.6],[140.6],Jesenice-Kranj(61.0); Kranj-Ljubljana(66.2); Novattgorica-Tolmin(36.6)
113,Ravnettnattkoroskem,Ljubljana,84.0,False,[],[],
114,Ajdovscina,Sezana,121.5,False,[81.0],[111.0],Ajdovscina-Divaca(81.0); Divaca-Senozece(111.0); Senozece-Sezana(81.0)
115,Kamnik,Portoroz,52.5,False,[35.0],[185.0],Divaca-Portoroz(35.0)
116,Peercelje_0,Kranj,48.0,True,[73.1],[195.0],
117,Rogasjattslatina,Senozece,48.0,False,[32.0],[209.8],Ljubljana-Postojna(32.0); Postojna-Senozece(32.0)
118,Kranj,Peercelje_0,121.5,True,[134.8],[221.8],
119,Trbovlje,Ormoz,76.5,True,[89.0],[174.0],
120,Kamnik,Tolmin,144.0,False,[57.6],[150.6],Kamnik-Ljubljana(96.0); Novattgorica-Tolmin(57.6)
121,Peercelje_0,Slovenjttgradec,91.5,False,[],[],
122,Senozece,Krsko,72.0,True,[87.0],[233.0],
123,Ptuj,Trbovlje,69.0,False,[46.0],[197.0],Lasko-Trbovlje(46.0)
124,Portoroz,Postojna,120.0,False,[],[],
125,Ravnettnattkoroskem,Radenci,60.0,True,[92.4],[227.8],
126,Dravograd,Ajdovscina,73.5,False,[72.5],[226.0],Novattgorica-Ajdovscina(72.5)
127,Divaca,Dravograd,64.5,True,[100.5],[194.0],
128,Koper,Sezana,126.0,False,[29.4],[191.0],Divaca-Senozece(29.4); Senozece-Sezana(84.0)
129,Gornjattradgona,Novottmesto,127.5,True,[170.0],[281.0],
