sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths,unsatisfied_links
254,Rogasjattslatina,Portoroz,44.1,True,[91.0],[210.0],
255,Izola,Kovevje,27.0,True,[70.0],[116.8],
256,Lasko,Murskattsobota,57.6,True,[79.1],[129.0],
257,Kamnik,Slovenjttgradec,47.7,False,[],[],
258,Slovenskattbistrica,Koper,36.0,True,[210.0],[351.0],
259,Novottmesto,Novattgorica,32.4,True,[143.9],[246.0],
260,Lasko,Novattgorica,69.3,True,[258.6],[384.0],
261,Radenci,Celje,62.1,True,[168.5],[345.2],
262,Tolmin,Portoroz,87.3,False,[],[],
263,Ormoz,Ajdovscina,41.4,True,[91.0],[190.4],
264,Dravograd,Divaca,46.800000000000004,True,[156.0],[384.1],
265,Slovenjttgradec,Kovevje,72.0,False,[],[],
266,Velenje,Izola,47.7,False,[],[],
267,Slovenskattbistrica,Divaca,46.800000000000004,False,[],[],
268,Dravograd,Ljutomer,45.9,True,[105.5],[208.0],
269,Postojna,Celje,55.800000000000004,False,[18.4],[91.0],Postojna-Ljubljana(18.4)
270,Slovenjttgradec,Ljutomer,31.5,False,[],[],
271,Trbovlje,Krsko,34.2,False,[],[],
272,Slovenjttgradec,Ljutomer,46.800000000000004,True,[93.0],[183.6],
273,Ormoz,Celje,35.1,False,[19.8],[204.8],Maribor-Lasko(19.8); Lasko-Celje(19.8)
274,Velenje,Kranj,53.1,True,[73.0],[182.0],
275,Lasko,Jesenice,35.1,True,[82.6],[205.6],
276,Postojna,Jesenice,64.8,False,[60.0],[145.9],Postojna-Ljubljana(60.0)
277,Peercelje_0,Radenci,36.0,False,[],[],
278,Lasko,Ljutomer,41.4,False,[],[],
279,Velenje,Ljubljana,40.5,True,[254.6],[320.3],
280,Ravnettnattkoroskem,Ljubljana,27.0,False,[12.0],[175.6],Dravograd-Maribor(12.0)
281,Dravograd,Divaca,77.4,False,[54.6],[196.0],Ljubljana-Koper(54.6); Koper-Divaca(54.6)
282,Krsko,Kovevje,49.5,False,[44.0],[201.7],Krsko-Rogasjattslatina(44.0)
283,Jesenice,Trbovlje,31.5,True,[97.0],[113.7],
284,Rogasjattslatina,Slovenskattbistrica,58.5,True,[76.0],[111.0],
285,Ravnettnattkoroskem,Rogasjattslatina,39.6,True,[86.0],[193.0],
286,Slovenjttgradec,Rogasjattslatina,36.9,False,[],[],
287,Peercelje_0,Kranj,69.3,True,[128.0],[261.9],
288,Murskattsobota,Lasko,53.1,True,[183.0],[317.0],
289,Kovevje,Slovenjttgradec,58.5,False,[],[],
290,Novattgorica,Novottmesto,59.4,False,[46.2],[82.0],Kovevje-Novottmesto(46.2)
291,Peercelje_0,Gornjattradgona,30.6,False,[],[],
292,Koper,Slovenskattbistrica,27.0,True,[210.0],[351.0],
293,Ajdovscina,Kranj,63.0,True,[70.0],[127.0],
294,Trbovlje,Bled,48.6,False,[],[],
295,Trbovlje,Radenci,74.7,False,[42.0],[189.0],Trbovlje-Ljubljana(42.0)
296,Ravnettnattkoroskem,Divaca,65.7,False,[31.0],[193.0],Koper-Divaca(31.0)
297,Slovenjttgradec,Radenci,62.1,True,[196.0],[300.0],
298,Sezana,Kovevje,68.4,False,[],[],
299,Slovenjttgradec,Slovenskattbistrica,41.4,False,[],[],
